id,name,score1,score2
119,Stuednt_119,81,80
120,Stuednt_120,52,96
121,Stuednt_121,93,83
122,Stuednt_122,66,61
123,Stuednt_123,80,53
124,Stuednt_124,68,55
125,Stuednt_125,99,86
126,Stuednt_126,91,74
127,Stuednt_127,63,70
128,Stuednt_128,100,79
129,Stuednt_129,61,69
130,Stuednt_130,71,100
131,Stuednt_131,66,61
132,Stuednt_132,88,84
133,Stuednt_133,97,98
134,Stuednt_134,69,71
135,Stuednt_135,55,99
136,Stuednt_136,63,71
137,Stuednt_137,58,78
138,Stuednt_138,91,71
139,Stuednt_139,76,50
140,Stuednt_140,89,80
141,Stuednt_141,82,66
142,Stuednt_142,88,56
143,Stuednt_143,93,74
144,Stuednt_144,56,90
145,Stuednt_145,50,71
146,Stuednt_146,95,84
147,Stuednt_147,77,59
148,Stuednt_148,80,63
149,Stuednt_149,94,94
150,Stuednt_150,88,52
151,Stuednt_151,77,64
152,Stuednt_152,66,79
153,Stuednt_153,84,65
154,Stuednt_154,82,60
155,Stuednt_155,80,92
156,Stuednt_156,73,78
157,Stuednt_157,98,78
158,Stuednt_158,63,78
159,Stuednt_159,100,89
160,Stuednt_160,69,98
161,Stuednt_161,87,99
162,Stuednt_162,85,67
163,Stuednt_163,93,67
164,Stuednt_164,57,69
165,Stuednt_165,82,58
166,Stuednt_166,70,94
167,Stuednt_167,82,93
168,Stuednt_168,62,57
169,Stuednt_169,55,56
170,Stuednt_170,66,55
171,Stuednt_171,71,91
172,Stuednt_172,91,57
173,Stuednt_173,85,87
174,Stuednt_174,73,76
175,Stuednt_175,67,53
176,Stuednt_176,94,96
177,Stuednt_177,98,54
178,Stuednt_178,63,76
179,Stuednt_179,81,80
180,Stuednt_180,64,58
181,Stuednt_181,76,58
182,Stuednt_182,57,96
183,Stuednt_183,99,66
184,Stuednt_184,76,69
185,Stuednt_185,76,64
186,Stuednt_186,91,84
187,Stuednt_187,57,58
188,Stuednt_188,62,64
189,Stuednt_189,60,82
190,Stuednt_190,53,99
191,Stuednt_191,74,62
192,Stuednt_192,66,89
193,Stuednt_193,55,63
194,Stuednt_194,99,62
195,Stuednt_195,94,85
196,Stuednt_196,71,50
197,Stuednt_197,62,83
198,Stuednt_198,64,52
199,Stuednt_199,51,74
200,Stuednt_200,99,80
201,Stuednt_201,52,100
202,Stuednt_202,96,93
203,Stuednt_203,97,88
204,Stuednt_204,55,64
205,Stuednt_205,97,99
206,Stuednt_206,83,55
207,Stuednt_207,95,58
208,Stuednt_208,56,58
209,Stuednt_209,74,87
210,Stuednt_210,89,60
211,Stuednt_211,74,67
212,Stuednt_212,75,85
213,Stuednt_213,96,78
214,Stuednt_214,69,77
215,Stuednt_215,86,89
216,Stuednt_216,73,98
217,Stuednt_217,67,100
218,Stuednt_218,79,63
219,Stuednt_219,58,88
220,Stuednt_220,58,90
221,Stuednt_221,71,76
222,Stuednt_222,97,56
223,Stuednt_223,68,74
224,Stuednt_224,57,65
225,Stuednt_225,52,98
226,Stuednt_226,86,51
227,Stuednt_227,55,86
228,Stuednt_228,73,60
229,Stuednt_229,50,99
230,Stuednt_230,64,58
231,Stuednt_231,63,74
232,Stuednt_232,68,84
233,Stuednt_233,54,70
234,Stuednt_234,85,60
235,Stuednt_235,92,85
236,Stuednt_236,91,86
237,Stuednt_237,84,79
238,Stuednt_238,97,99
239,Stuednt_239,87,81
240,Stuednt_240,72,53
241,Stuednt_241,50,55
242,Stuednt_242,77,66
243,Stuednt_243,71,63
244,Stuednt_244,51,88
245,Stuednt_245,57,55
246,Stuednt_246,95,74
247,Stuednt_247,86,91
248,Stuednt_248,65,75
249,Stuednt_249,88,64
250,Stuednt_250,90,92
251,Stuednt_251,98,83
252,Stuednt_252,50,100
253,Stuednt_253,82,56
254,Stuednt_254,97,77
255,Stuednt_255,71,52
256,Stuednt_256,79,100
257,Stuednt_257,77,92
258,Stuednt_258,98,54
259,Stuednt_259,60,91
260,Stuednt_260,58,89
261,Stuednt_261,72,64
262,Stuednt_262,75,58
263,Stuednt_263,59,75
264,Stuednt_264,70,90
265,Stuednt_265,78,86
266,Stuednt_266,84,71
267,Stuednt_267,95,89
268,Stuednt_268,58,85
269,Stuednt_269,94,88
270,Stuednt_270,91,59
271,Stuednt_271,65,64
272,Stuednt_272,73,65
273,Stuednt_273,50,50
274,Stuednt_274,58,71
275,Stuednt_275,99,70
276,Stuednt_276,50,51
277,Stuednt_277,70,79
278,Stuednt_278,73,100
279,Stuednt_279,54,81
280,Stuednt_280,86,76
281,Stuednt_281,68,55
282,Stuednt_282,67,51
283,Stuednt_283,88,69
284,Stuednt_284,54,54
285,Stuednt_285,99,91
286,Stuednt_286,95,70
287,Stuednt_287,50,69
288,Stuednt_288,75,78
289,Stuednt_289,57,95
290,Stuednt_290,64,75
291,Stuednt_291,94,77
292,Stuednt_292,58,68
293,Stuednt_293,83,75
294,Stuednt_294,62,54
295,Stuednt_295,75,61
296,Stuednt_296,60,72
297,Stuednt_297,78,77
298,Stuednt_298,99,78
299,Stuednt_299,93,61
300,Stuednt_300,58,50
301,Stuednt_301,99,83
302,Stuednt_302,51,64
303,Stuednt_303,66,75
304,Stuednt_304,92,82
305,Stuednt_305,55,91
306,Stuednt_306,60,50
307,Stuednt_307,63,86
308,Stuednt_308,92,76
309,Stuednt_309,57,80
310,Stuednt_310,53,96
311,Stuednt_311,55,60
312,Stuednt_312,85,90
313,Stuednt_313,87,63
314,Stuednt_314,94,57
315,Stuednt_315,68,80
316,Stuednt_316,56,61
317,Stuednt_317,97,91
318,Stuednt_318,60,88
319,Stuednt_319,70,81
320,Stuednt_320,76,78
321,Stuednt_321,84,98
322,Stuednt_322,50,76
323,Stuednt_323,75,50
324,Stuednt_324,82,60
325,Stuednt_325,93,54
326,Stuednt_326,91,51
327,Stuednt_327,52,80
328,Stuednt_328,65,81
329,Stuednt_329,99,89
330,Stuednt_330,70,57
331,Stuednt_331,80,68
332,Stuednt_332,59,50
333,Stuednt_333,50,83
334,Stuednt_334,92,53
335,Stuednt_335,100,60
336,Stuednt_336,59,93
337,Stuednt_337,100,89
338,Stuednt_338,52,85
339,Stuednt_339,85,74
340,Stuednt_340,98,81
341,Stuednt_341,75,89
342,Stuednt_342,50,65
343,Stuednt_343,79,69
344,Stuednt_344,60,71
345,Stuednt_345,93,82
346,Stuednt_346,57,71
347,Stuednt_347,73,53
348,Stuednt_348,99,87
349,Stuednt_349,87,69
350,Stuednt_350,94,55
351,Stuednt_351,73,54
352,Stuednt_352,75,65
353,Stuednt_353,79,68
354,Stuednt_354,82,57
355,Stuednt_355,72,67
356,Stuednt_356,79,82
357,Stuednt_357,78,99
358,Stuednt_358,52,52
359,Stuednt_359,55,90
360,Stuednt_360,62,82
361,Stuednt_361,65,55
362,Stuednt_362,77,54
363,Stuednt_363,72,77
364,Stuednt_364,89,79
365,Stuednt_365,83,66
366,Stuednt_366,54,59
367,Stuednt_367,56,85
368,Stuednt_368,75,55
369,Stuednt_369,77,62
370,Stuednt_370,69,50
371,Stuednt_371,92,88
372,Stuednt_372,54,77
373,Stuednt_373,82,64
374,Stuednt_374,77,71
375,Stuednt_375,90,71
376,Stuednt_376,78,59
377,Stuednt_377,95,83
378,Stuednt_378,65,76
379,Stuednt_379,79,77
380,Stuednt_380,57,60
381,Stuednt_381,85,95
382,Stuednt_382,93,65
383,Stuednt_383,88,68
384,Stuednt_384,81,89
385,Stuednt_385,50,59
386,Stuednt_386,85,61
387,Stuednt_387,74,70
388,Stuednt_388,95,78
389,Stuednt_389,72,54
390,Stuednt_390,57,82
391,Stuednt_391,74,79
392,Stuednt_392,100,76
393,Stuednt_393,74,98
394,Stuednt_394,88,71
395,Stuednt_395,100,53
396,Stuednt_396,53,53
397,Stuednt_397,79,50
398,Stuednt_398,70,89
399,Stuednt_399,62,88
400,Stuednt_400,91,51
401,Stuednt_401,65,63
402,Stuednt_402,50,100
403,Stuednt_403,85,69
404,Stuednt_404,95,92
405,Stuednt_405,86,96
406,Stuednt_406,87,62
407,Stuednt_407,52,77
408,Stuednt_408,60,52
409,Stuednt_409,61,62
410,Stuednt_410,91,59
411,Stuednt_411,95,50
412,Stuednt_412,53,67
413,Stuednt_413,90,91
414,Stuednt_414,70,63
415,Stuednt_415,93,84
416,Stuednt_416,66,55
417,Stuednt_417,99,91
418,Stuednt_418,89,77
419,Stuednt_419,76,50
420,Stuednt_420,77,68
421,Stuednt_421,50,85
422,Stuednt_422,86,63
423,Stuednt_423,69,51
424,Stuednt_424,70,90
425,Stuednt_425,61,75
426,Stuednt_426,60,78
427,Stuednt_427,62,65
428,Stuednt_428,56,61
429,Stuednt_429,82,96
430,Stuednt_430,97,51
431,Stuednt_431,60,57
432,Stuednt_432,97,77
433,Stuednt_433,53,96
434,Stuednt_434,50,76
435,Stuednt_435,52,79
436,Stuednt_436,87,97
437,Stuednt_437,72,83
438,Stuednt_438,59,58
439,Stuednt_439,64,91
440,Stuednt_440,78,79
441,Stuednt_441,87,56
442,Stuednt_442,64,66
443,Stuednt_443,72,72
444,Stuednt_444,59,77
445,Stuednt_445,71,68
446,Stuednt_446,67,100
447,Stuednt_447,100,66
448,Stuednt_448,52,84
449,Stuednt_449,78,61
450,Stuednt_450,60,85
451,Stuednt_451,50,59
452,Stuednt_452,62,66
453,Stuednt_453,53,92
454,Stuednt_454,91,86
455,Stuednt_455,93,56
456,Stuednt_456,85,81
457,Stuednt_457,94,90
458,Stuednt_458,63,70
459,Stuednt_459,53,66
460,Stuednt_460,88,85
461,Stuednt_461,54,56
462,Stuednt_462,79,75
463,Stuednt_463,73,94
464,Stuednt_464,77,96
465,Stuednt_465,71,52
466,Stuednt_466,56,69
467,Stuednt_467,54,59
468,Stuednt_468,69,99
469,Stuednt_469,65,61
470,Stuednt_470,83,100
471,Stuednt_471,87,92
472,Stuednt_472,54,95
473,Stuednt_473,72,61
474,Stuednt_474,60,71
475,Stuednt_475,84,100
476,Stuednt_476,76,57
477,Stuednt_477,60,96
478,Stuednt_478,69,89
479,Stuednt_479,92,74
480,Stuednt_480,98,70
481,Stuednt_481,74,86
482,Stuednt_482,92,71
483,Stuednt_483,79,95
484,Stuednt_484,67,75
485,Stuednt_485,67,55
486,Stuednt_486,81,99
487,Stuednt_487,62,63
488,Stuednt_488,63,67
489,Stuednt_489,90,55
490,Stuednt_490,51,100
491,Stuednt_491,81,100
492,Stuednt_492,66,81
493,Stuednt_493,78,64
494,Stuednt_494,61,78
495,Stuednt_495,93,56
496,Stuednt_496,50,55
497,Stuednt_497,60,73
498,Stuednt_498,59,94
499,Stuednt_499,89,90
500,Stuednt_500,80,50
501,Stuednt_501,67,69
502,Stuednt_502,89,51
503,Stuednt_503,96,71
504,Stuednt_504,81,83
505,Stuednt_505,85,67
506,Stuednt_506,78,53
507,Stuednt_507,89,55
508,Stuednt_508,71,78
509,Stuednt_509,75,66
510,Stuednt_510,92,82
511,Stuednt_511,93,84
512,Stuednt_512,93,51
513,Stuednt_513,97,75
514,Stuednt_514,59,67
515,Stuednt_515,96,54
516,Stuednt_516,92,90
517,Stuednt_517,51,58
518,Stuednt_518,58,71
519,Stuednt_519,65,54
520,Stuednt_520,51,66
521,Stuednt_521,80,89
522,Stuednt_522,69,50
523,Stuednt_523,69,81
524,Stuednt_524,66,81
525,Stuednt_525,77,83
526,Stuednt_526,57,100
527,Stuednt_527,76,90
528,Stuednt_528,64,94
529,Stuednt_529,61,57
530,Stuednt_530,59,76
531,Stuednt_531,77,70
532,Stuednt_532,51,50
533,Stuednt_533,94,99
534,Stuednt_534,64,65
535,Stuednt_535,100,59
536,Stuednt_536,90,84
537,Stuednt_537,77,61
538,Stuednt_538,84,74
539,Stuednt_539,95,88
540,Stuednt_540,100,58
541,Stuednt_541,99,53
542,Stuednt_542,78,89
543,Stuednt_543,98,77
544,Stuednt_544,61,63
545,Stuednt_545,63,91
546,Stuednt_546,96,76
547,Stuednt_547,55,97
548,Stuednt_548,69,91
549,Stuednt_549,51,55
550,Stuednt_550,77,77
551,Stuednt_551,67,89
552,Stuednt_552,78,60
553,Stuednt_553,67,67
554,Stuednt_554,50,83
555,Stuednt_555,54,60
556,Stuednt_556,79,88
557,Stuednt_557,65,82
558,Stuednt_558,67,68
559,Stuednt_559,56,56
560,Stuednt_560,95,54
561,Stuednt_561,67,75
562,Stuednt_562,54,50
563,Stuednt_563,76,92
564,Stuednt_564,55,79
565,Stuednt_565,68,60
566,Stuednt_566,88,86
567,Stuednt_567,99,98
568,Stuednt_568,63,52
569,Stuednt_569,62,80
570,Stuednt_570,99,54
571,Stuednt_571,66,58
572,Stuednt_572,53,96
573,Stuednt_573,96,60
574,Stuednt_574,73,91
575,Stuednt_575,50,56
576,Stuednt_576,87,100
577,Stuednt_577,100,99
578,Stuednt_578,95,65
579,Stuednt_579,71,95
580,Stuednt_580,99,98
581,Stuednt_581,66,91
582,Stuednt_582,65,94
583,Stuednt_583,67,68
584,Stuednt_584,77,63
585,Stuednt_585,75,91
586,Stuednt_586,76,50
587,Stuednt_587,89,60
588,Stuednt_588,54,87
589,Stuednt_589,54,72
590,Stuednt_590,87,57
591,Stuednt_591,58,75
592,Stuednt_592,52,78
593,Stuednt_593,77,78
594,Stuednt_594,57,63
595,Stuednt_595,64,53
596,Stuednt_596,57,53
597,Stuednt_597,69,75
598,Stuednt_598,71,63
599,Stuednt_599,55,52
600,Stuednt_600,86,94
601,Stuednt_601,84,85
602,Stuednt_602,52,75
603,Stuednt_603,65,68
604,Stuednt_604,90,78
605,Stuednt_605,69,85
606,Stuednt_606,99,53
607,Stuednt_607,64,87
608,Stuednt_608,87,66
609,Stuednt_609,56,90
610,Stuednt_610,73,81
611,Stuednt_611,75,83
612,Stuednt_612,68,69
613,Stuednt_613,80,73
614,Stuednt_614,90,86
615,Stuednt_615,75,65
616,Stuednt_616,55,71
617,Stuednt_617,54,77
618,Stuednt_618,95,63
619,Stuednt_619,90,66
620,Stuednt_620,63,73
621,Stuednt_621,50,88
622,Stuednt_622,63,75
623,Stuednt_623,80,56
624,Stuednt_624,88,78
625,Stuednt_625,77,63
626,Stuednt_626,71,75
627,Stuednt_627,67,87
628,Stuednt_628,80,72
629,Stuednt_629,96,80
630,Stuednt_630,86,57
631,Stuednt_631,80,78
632,Stuednt_632,58,62
633,Stuednt_633,64,82
634,Stuednt_634,95,50
635,Stuednt_635,68,99
636,Stuednt_636,64,72
637,Stuednt_637,52,51
638,Stuednt_638,96,50
639,Stuednt_639,61,60
640,Stuednt_640,100,84
641,Stuednt_641,98,57
642,Stuednt_642,69,77
643,Stuednt_643,84,68
644,Stuednt_644,82,93
645,Stuednt_645,92,60
646,Stuednt_646,96,73
647,Stuednt_647,66,92
648,Stuednt_648,91,65
649,Stuednt_649,96,80
650,Stuednt_650,64,62
651,Stuednt_651,89,73
652,Stuednt_652,66,91
653,Stuednt_653,87,64
654,Stuednt_654,84,55
655,Stuednt_655,70,91
656,Stuednt_656,83,91
657,Stuednt_657,98,56
658,Stuednt_658,61,68
659,Stuednt_659,61,95
660,Stuednt_660,53,67
661,Stuednt_661,97,96
662,Stuednt_662,74,80
663,Stuednt_663,59,75
664,Stuednt_664,89,98
665,Stuednt_665,86,93
666,Stuednt_666,65,93
667,Stuednt_667,91,53
668,Stuednt_668,74,60
669,Stuednt_669,96,97
670,Stuednt_670,100,81
671,Stuednt_671,59,62
672,Stuednt_672,65,57
673,Stuednt_673,62,65
674,Stuednt_674,83,96
675,Stuednt_675,50,77
676,Stuednt_676,77,100
677,Stuednt_677,60,83
678,Stuednt_678,64,100
679,Stuednt_679,85,99
680,Stuednt_680,80,61
681,Stuednt_681,68,74
682,Stuednt_682,71,85
683,Stuednt_683,92,100
684,Stuednt_684,77,64
685,Stuednt_685,95,79
686,Stuednt_686,82,90
687,Stuednt_687,74,63
688,Stuednt_688,75,63
689,Stuednt_689,82,95
690,Stuednt_690,69,93
691,Stuednt_691,58,84
692,Stuednt_692,59,96
693,Stuednt_693,62,53
694,Stuednt_694,87,57
695,Stuednt_695,86,79
696,Stuednt_696,74,51
697,Stuednt_697,76,52
698,Stuednt_698,54,78
699,Stuednt_699,84,91
700,Stuednt_700,89,87
701,Stuednt_701,78,88
702,Stuednt_702,59,61
703,Stuednt_703,79,91
704,Stuednt_704,51,76
705,Stuednt_705,89,83
706,Stuednt_706,73,68
707,Stuednt_707,68,70
708,Stuednt_708,57,67
709,Stuednt_709,92,52
710,Stuednt_710,54,85
711,Stuednt_711,83,66
712,Stuednt_712,80,52
713,Stuednt_713,50,61
714,Stuednt_714,77,62
715,Stuednt_715,86,87
716,Stuednt_716,92,68
717,Stuednt_717,66,99
718,Stuednt_718,69,86
719,Stuednt_719,71,76
720,Stuednt_720,94,83
721,Stuednt_721,52,60
722,Stuednt_722,72,79
723,Stuednt_723,91,63
724,Stuednt_724,83,59
725,Stuednt_725,52,57
726,Stuednt_726,92,88
727,Stuednt_727,83,67
728,Stuednt_728,61,88
729,Stuednt_729,92,53
730,Stuednt_730,94,77
731,Stuednt_731,100,89
732,Stuednt_732,60,58
733,Stuednt_733,79,67
734,Stuednt_734,97,79
735,Stuednt_735,75,91
736,Stuednt_736,80,64
737,Stuednt_737,69,100
738,Stuednt_738,58,70
739,Stuednt_739,92,57
740,Stuednt_740,56,100
741,Stuednt_741,82,51
742,Stuednt_742,78,73
743,Stuednt_743,56,78
744,Stuednt_744,87,99
745,Stuednt_745,72,92
746,Stuednt_746,56,56
747,Stuednt_747,87,96
748,Stuednt_748,53,87
749,Stuednt_749,96,62
750,Stuednt_750,52,88
751,Stuednt_751,50,69
752,Stuednt_752,91,71
753,Stuednt_753,56,61
754,Stuednt_754,72,68
755,Stuednt_755,80,65
756,Stuednt_756,100,84
757,Stuednt_757,71,57
758,Stuednt_758,89,65
759,Stuednt_759,65,70
760,Stuednt_760,87,84
761,Stuednt_761,82,86
762,Stuednt_762,54,96
763,Stuednt_763,54,89
764,Stuednt_764,78,76
765,Stuednt_765,57,90
766,Stuednt_766,59,64
767,Stuednt_767,93,91
768,Stuednt_768,50,71
769,Stuednt_769,62,83
770,Stuednt_770,92,85
771,Stuednt_771,55,85
772,Stuednt_772,88,66
773,Stuednt_773,83,92
774,Stuednt_774,78,80
775,Stuednt_775,73,73
776,Stuednt_776,58,93
777,Stuednt_777,97,71
778,Stuednt_778,100,60
779,Stuednt_779,56,94
780,Stuednt_780,56,95
781,Stuednt_781,69,81
782,Stuednt_782,75,55
783,Stuednt_783,59,100
784,Stuednt_784,51,93
785,Stuednt_785,60,75
786,Stuednt_786,78,72
787,Stuednt_787,62,59
788,Stuednt_788,100,54
789,Stuednt_789,89,58
790,Stuednt_790,68,72
791,Stuednt_791,60,98
792,Stuednt_792,72,79
793,Stuednt_793,63,51
794,Stuednt_794,74,67
795,Stuednt_795,73,99
796,Stuednt_796,58,84
797,Stuednt_797,85,71
798,Stuednt_798,80,69
799,Stuednt_799,97,87
800,Stuednt_800,64,53
801,Stuednt_801,87,69
802,Stuednt_802,96,61
803,Stuednt_803,97,81
804,Stuednt_804,67,61
805,Stuednt_805,96,82
806,Stuednt_806,85,83
807,Stuednt_807,58,90
808,Stuednt_808,79,82
809,Stuednt_809,56,55
810,Stuednt_810,96,81
811,Stuednt_811,51,56
812,Stuednt_812,71,74
813,Stuednt_813,60,55
814,Stuednt_814,99,59
815,Stuednt_815,81,54
816,Stuednt_816,53,70
817,Stuednt_817,85,81
818,Stuednt_818,59,56
819,Stuednt_819,56,92
820,Stuednt_820,63,87
821,Stuednt_821,53,72
822,Stuednt_822,99,76
823,Stuednt_823,73,86
824,Stuednt_824,57,70
825,Stuednt_825,57,86
826,Stuednt_826,61,54
827,Stuednt_827,62,76
828,Stuednt_828,90,73
829,Stuednt_829,73,79
830,Stuednt_830,65,52
831,Stuednt_831,75,58
832,Stuednt_832,83,50
833,Stuednt_833,80,70
834,Stuednt_834,95,75
835,Stuednt_835,75,82
836,Stuednt_836,66,77
837,Stuednt_837,88,75
838,Stuednt_838,95,89
839,Stuednt_839,69,93
840,Stuednt_840,60,51
841,Stuednt_841,66,99
842,Stuednt_842,71,52
843,Stuednt_843,73,54
844,Stuednt_844,74,81
845,Stuednt_845,74,65
846,Stuednt_846,72,59
847,Stuednt_847,88,59
848,Stuednt_848,56,51
849,Stuednt_849,71,67
850,Stuednt_850,87,97
851,Stuednt_851,50,74
852,Stuednt_852,98,53
853,Stuednt_853,71,55
854,Stuednt_854,87,97
855,Stuednt_855,82,78
856,Stuednt_856,94,70
857,Stuednt_857,84,86
858,Stuednt_858,67,96
859,Stuednt_859,53,75
860,Stuednt_860,61,94
861,Stuednt_861,70,52
862,Stuednt_862,60,97
863,Stuednt_863,74,81
864,Stuednt_864,60,83
865,Stuednt_865,89,61
866,Stuednt_866,75,89
867,Stuednt_867,86,90
868,Stuednt_868,69,85
869,Stuednt_869,58,61
870,Stuednt_870,89,95
871,Stuednt_871,54,58
872,Stuednt_872,57,53
873,Stuednt_873,59,95
874,Stuednt_874,97,96
875,Stuednt_875,84,71
876,Stuednt_876,91,63
877,Stuednt_877,94,51
878,Stuednt_878,76,71
879,Stuednt_879,74,66
880,Stuednt_880,72,59
881,Stuednt_881,85,90
882,Stuednt_882,73,88
883,Stuednt_883,67,69
884,Stuednt_884,81,76
885,Stuednt_885,53,90
886,Stuednt_886,72,97
887,Stuednt_887,55,84
888,Stuednt_888,92,77
889,Stuednt_889,85,78
890,Stuednt_890,55,51
891,Stuednt_891,96,67
892,Stuednt_892,90,89
893,Stuednt_893,68,56
894,Stuednt_894,59,100
895,Stuednt_895,83,80
896,Stuednt_896,87,56
897,Stuednt_897,90,74
898,Stuednt_898,100,99
899,Stuednt_899,69,57
900,Stuednt_900,52,71
901,Stuednt_901,90,89
902,Stuednt_902,100,80
903,Stuednt_903,79,67
904,Stuednt_904,59,81
905,Stuednt_905,88,59
906,Stuednt_906,83,63
907,Stuednt_907,99,72
908,Stuednt_908,89,72
909,Stuednt_909,67,89
910,Stuednt_910,95,60
911,Stuednt_911,96,86
912,Stuednt_912,85,63
913,Stuednt_913,74,61
914,Stuednt_914,77,83
915,Stuednt_915,56,84
916,Stuednt_916,74,55
917,Stuednt_917,89,88
918,Stuednt_918,81,70
919,Stuednt_919,80,63
920,Stuednt_920,73,80
921,Stuednt_921,75,99
922,Stuednt_922,67,99
923,Stuednt_923,65,83
924,Stuednt_924,76,52
925,Stuednt_925,77,96
926,Stuednt_926,55,82
927,Stuednt_927,98,52
928,Stuednt_928,71,66
929,Stuednt_929,69,84
930,Stuednt_930,88,62
931,Stuednt_931,57,76
932,Stuednt_932,99,87
933,Stuednt_933,73,97
934,Stuednt_934,76,74
935,Stuednt_935,88,70
936,Stuednt_936,56,60
937,Stuednt_937,90,80
938,Stuednt_938,55,59
939,Stuednt_939,95,64
940,Stuednt_940,67,76
941,Stuednt_941,59,96
942,Stuednt_942,79,60
943,Stuednt_943,67,91
944,Stuednt_944,97,74
945,Stuednt_945,84,73
946,Stuednt_946,64,63
947,Stuednt_947,92,77
948,Stuednt_948,54,100
949,Stuednt_949,71,71
950,Stuednt_950,57,86
951,Stuednt_951,79,56
952,Stuednt_952,82,78
953,Stuednt_953,99,96
954,Stuednt_954,72,68
955,Stuednt_955,73,87
956,Stuednt_956,87,50
957,Stuednt_957,92,64
958,Stuednt_958,64,57
959,Stuednt_959,91,97
960,Stuednt_960,55,52
961,Stuednt_961,86,94
962,Stuednt_962,75,85
963,Stuednt_963,95,69
964,Stuednt_964,89,70
965,Stuednt_965,73,88
966,Stuednt_966,97,84
967,Stuednt_967,96,89
968,Stuednt_968,88,65
969,Stuednt_969,88,93
970,Stuednt_970,60,81
971,Stuednt_971,98,76
972,Stuednt_972,95,65
973,Stuednt_973,56,83
974,Stuednt_974,84,62
975,Stuednt_975,82,86
976,Stuednt_976,59,87
977,Stuednt_977,76,53
978,Stuednt_978,93,67
979,Stuednt_979,88,51
980,Stuednt_980,56,61
981,Stuednt_981,82,99
982,Stuednt_982,69,95
983,Stuednt_983,81,52
984,Stuednt_984,92,83
985,Stuednt_985,75,88
986,Stuednt_986,65,60
987,Stuednt_987,68,96
988,Stuednt_988,98,95
989,Stuednt_989,100,96
990,Stuednt_990,66,71
991,Stuednt_991,95,52
992,Stuednt_992,95,56
993,Stuednt_993,98,93
994,Stuednt_994,94,73
995,Stuednt_995,91,75
996,Stuednt_996,52,74
997,Stuednt_997,83,77
998,Stuednt_998,55,76
